nuts2_id,country,scenario,cf
SI03,Slovenia,RCP2.6,5072.33
SI03,Slovenia,RCP2.6,1259.8
SI03,Slovenia,RCP2.6,1279.14
SI03,Slovenia,RCP2.6,2207.49
SI03,Slovenia,RCP2.6,779.66
SI03,Slovenia,RCP2.6,629.77
SI03,Slovenia,RCP2.6,5637.05
SI03,Slovenia,RCP2.6,1164.54
SI03,Slovenia,RCP2.6,5914.18
SI03,Slovenia,RCP2.6,1939.61
SI03,Slovenia,RCP2.6,1697.12
SI03,Slovenia,RCP2.6,864.74
SI03,Slovenia,RCP2.6,4553.42
SI03,Slovenia,RCP2.6,3185.27
SI03,Slovenia,RCP2.6,4317.2
SI03,Slovenia,RCP2.6,1103.19
SI03,Slovenia,RCP2.6,1008.03
SI03,Slovenia,RCP2.6,1949.58
SI03,Slovenia,RCP2.6,3575.8
SI03,Slovenia,RCP2.6,2341.4
SI03,Slovenia,RCP2.6,3089.12
SI03,Slovenia,RCP2.6,900.11
SI03,Slovenia,RCP2.6,2377.34
SI03,Slovenia,RCP2.6,1195.83
SI03,Slovenia,RCP2.6,2627.17
SI03,Slovenia,RCP2.6,1688.18
SI03,Slovenia,RCP2.6,1010.67
SI03,Slovenia,RCP2.6,856.64
SI03,Slovenia,RCP2.6,3563.75
SI03,Slovenia,RCP2.6,1046.6
SI03,Slovenia,RCP2.6,3563.75
SI03,Slovenia,RCP2.6,1426.69
SI03,Slovenia,RCP2.6,1529.56
SI03,Slovenia,RCP2.6,1419.3
SI03,Slovenia,RCP2.6,5739.45
SI03,Slovenia,RCP2.6,1307.72
SI03,Slovenia,RCP2.6,1249.35
SI03,Slovenia,RCP2.6,2370.08
SI03,Slovenia,RCP2.6,2274.74
SI03,Slovenia,RCP2.6,3714.59
SI03,Slovenia,RCP2.6,5251.5
SI03,Slovenia,RCP2.6,2157.58
SI03,Slovenia,RCP2.6,1651.31
SI03,Slovenia,RCP2.6,1900.66
SI03,Slovenia,RCP2.6,2798.52
SI03,Slovenia,RCP2.6,1560.06
SI03,Slovenia,RCP2.6,1230.35
SI03,Slovenia,RCP2.6,2168.45
SI03,Slovenia,RCP2.6,1529.51
SI03,Slovenia,RCP2.6,3016.54
SI03,Slovenia,RCP2.6,2254.82
SI03,Slovenia,RCP2.6,2061.52
SI03,Slovenia,RCP2.6,1707.6
SI03,Slovenia,RCP2.6,2651.77
SI03,Slovenia,RCP2.6,4637.09
SI03,Slovenia,RCP2.6,3607.41
SI03,Slovenia,RCP2.6,5044.23
SI03,Slovenia,RCP2.6,5406.25
SI04,Slovenia,RCP4.5,411.41
SI04,Slovenia,RCP4.5,959.8
SI03,Slovenia,RCP4.5,1041.24
SI03,Slovenia,RCP4.5,726.23
SI03,Slovenia,RCP4.5,632.25
SI03,Slovenia,RCP4.5,1069.12
SI03,Slovenia,RCP4.5,418.68
SI03,Slovenia,RCP4.5,700.29
SI03,Slovenia,RCP4.5,595.31
SI03,Slovenia,RCP4.5,960.78
SI03,Slovenia,RCP4.5,695.72
SI03,Slovenia,RCP4.5,603.08
SI03,Slovenia,RCP4.5,1040.64
SI03,Slovenia,RCP4.5,595.72
SI03,Slovenia,RCP4.5,469.67
SI03,Slovenia,RCP4.5,391.76
SI03,Slovenia,RCP4.5,435.42
SI03,Slovenia,RCP4.5,1631.7
SI03,Slovenia,RCP4.5,1089.32
SI03,Slovenia,RCP4.5,1135.6
SI03,Slovenia,RCP4.5,847.19
SI03,Slovenia,RCP4.5,2418.52
SI03,Slovenia,RCP4.5,596.79
SI03,Slovenia,RCP4.5,1445.17
SI03,Slovenia,RCP4.5,1027.3
SI03,Slovenia,RCP4.5,2063.92
SI03,Slovenia,RCP4.5,498.31
SI03,Slovenia,RCP4.5,1551.35
SI03,Slovenia,RCP4.5,4502.92
SI03,Slovenia,RCP4.5,524.68
SI03,Slovenia,RCP4.5,2717.5
SI03,Slovenia,RCP4.5,4812.23
SI03,Slovenia,RCP4.5,1158.14
SI03,Slovenia,RCP4.5,1258.2
SI03,Slovenia,RCP4.5,2137.47
SI03,Slovenia,RCP4.5,722.46
SI03,Slovenia,RCP4.5,596.22
SI03,Slovenia,RCP4.5,5202.67
SI03,Slovenia,RCP4.5,1209.31
SI03,Slovenia,RCP4.5,4960.08
SI03,Slovenia,RCP4.5,1434.38
SI03,Slovenia,RCP4.5,1591.86
SI03,Slovenia,RCP4.5,784.27
SI03,Slovenia,RCP4.5,3648.63
SI03,Slovenia,RCP4.5,2885.14
SI03,Slovenia,RCP4.5,3596.05
SI03,Slovenia,RCP4.5,693.28
SI03,Slovenia,RCP4.5,861.31
SI03,Slovenia,RCP4.5,1740.57
SI03,Slovenia,RCP4.5,3137.2
SI03,Slovenia,RCP4.5,2595.7
SI03,Slovenia,RCP4.5,2868.39
SI03,Slovenia,RCP4.5,750.26
SI03,Slovenia,RCP4.5,1870.35
SI03,Slovenia,RCP4.5,1115.01
SI03,Slovenia,RCP4.5,2162.01
SI03,Slovenia,RCP4.5,1459.62
SI03,Slovenia,RCP4.5,921.3
SI03,Slovenia,RCP4.5,808.43
SI03,Slovenia,RCP4.5,3934.53
SI03,Slovenia,RCP4.5,1011.53
SI03,Slovenia,RCP4.5,3934.53
SI03,Slovenia,RCP4.5,1367.73
SI03,Slovenia,RCP4.5,1433.98
SI03,Slovenia,RCP4.5,1095.86
SI03,Slovenia,RCP4.5,4604.09
SI03,Slovenia,RCP4.5,1393.48
SI03,Slovenia,RCP4.5,1426.22
SI03,Slovenia,RCP4.5,2121.79
SI03,Slovenia,RCP4.5,1885.12
SI03,Slovenia,RCP4.5,3753.98
SI03,Slovenia,RCP4.5,4705.78
SI03,Slovenia,RCP4.5,1572.93
SI03,Slovenia,RCP4.5,1608.36
SI03,Slovenia,RCP4.5,1937.88
SI03,Slovenia,RCP4.5,2529.29
SI03,Slovenia,RCP4.5,1341.78
SI03,Slovenia,RCP4.5,1058.7
SI03,Slovenia,RCP4.5,1719.73
SI03,Slovenia,RCP4.5,1611.42
SI03,Slovenia,RCP4.5,2504.68
SI03,Slovenia,RCP4.5,2254.83
SI03,Slovenia,RCP4.5,1951.07
SI03,Slovenia,RCP4.5,1596.51
SI03,Slovenia,RCP4.5,2526.99
SI03,Slovenia,RCP4.5,4636.08
SI03,Slovenia,RCP4.5,3561.85
SI03,Slovenia,RCP4.5,5240.56
SI03,Slovenia,RCP4.5,5065.15
SI04,Slovenia,RCP8.5,401.99
SI04,Slovenia,RCP8.5,937.78
SI03,Slovenia,RCP8.5,886.13
SI03,Slovenia,RCP8.5,772.07
SI03,Slovenia,RCP8.5,621.6
SI03,Slovenia,RCP8.5,1075.14
SI03,Slovenia,RCP8.5,600.29
SI03,Slovenia,RCP8.5,1004.37
SI03,Slovenia,RCP8.5,658.49
SI03,Slovenia,RCP8.5,1036.42
SI03,Slovenia,RCP8.5,631.79
SI03,Slovenia,RCP8.5,619.62
SI03,Slovenia,RCP8.5,1326.09
SI03,Slovenia,RCP8.5,765.18
SI03,Slovenia,RCP8.5,470.53
